country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",60.18923187,60.43539047,61.01388931,61.51008987,61.88290024,62.47269821,63.10979843,63.56703186,61.80775833,62.32101822,62.79779053,63.03142166,63.61748886,63.84658051,62.62778091,62.25881958,62.65586853,63.07828903,63.22407913,64.56970215,64.82185364,65.47820282,66.0120163,66.43054962,66.90352631,67.60903168,67.42115021,67.21476746,67.10639954,67.1866684,67.31555176,67.4712677,67.57801056
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",,72.23000336,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.86000061,,,
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,99.65000153,,,,,,,,,,,,99.58999634,,,99.36000061,99.65000153,99.90208188,99.94031712,99.96560636,99.56999969,99.55999756,99.68000031
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,57.90000153,,,,,,,,,,71.5,,,,,60.21989062,,64.48999786,,,,76.48999786,,,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,20.54999924,,,,,,,29.70000076,,,,,,,25.30999947,,,,32,,,,39.61999893,,,,,,
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,36.81999969,,,,,,,,,,,,,,,50.77999878,,,53.15999985,,,51.63999939,,,
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,41.36000061,,,,,,,,,,,,,,,,,,,54.88000107,,,63.93000031,,
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,88.30999756,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,95.98999786,,,,,,,,93.91000366,,,,,,,,,,,,,,,
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
