Country,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Channel Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,91.12999725,,,,,,,,,,94.29000092,,,,,,,,,,95.72000122,,,,,,,,,96.69999695,,96.26999664,,96.87000275,,96.40000153,,,,,,,
China,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,65.51000214,,,,,,,,77.79000092,,,,,,,,,,90.91999817,,,,,,,,,,95.12000275,,,,,,,,,,96.73999786,,,,
Cote d'Ivoire,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13999939,,,,,,,,,,36.34999847,,48.74000168,,,,,,,,,,,,,,43.90999985,,50.04000092,,,56.98045294,,50,,,
Cameroon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,41.22000122,,,,,,,,,,,,,,,,,,,,,,,,68.41000366,,,,,,,70.68000031,,,71.19000244,,,,,,,,72.55000305,,,,,,
"Congo, Dem. Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.16999817,,,,,,,,,,,75.01999664,,,,77.04000092,,73.55000305,,65.69144861,,,,
"Congo, Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,59.61999893,,,,,,,,,,,,,,,,,,,,,76.11000061,,,,,,,,,,,,,,,,,,,
Colombia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.05999756,,,91.20999908,,,,,,,,92.80000305,92.84999847,92.30000305,92.65000153,93.37999725,93.23999786,93.37000275,93.58000183,,,94.19000244,94.25,94.65000153,94.89271388,95.08999634,95.25,95.63999939,95.66655202,95.31388345,95.46255537,95.33999634
Comoros,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,47.91999817,,,,,,,,,,,,,,,,,,,,68.25,,,,,,,,,,,,,,73.79815792,,,,,,,75.82505714,,,
Cabo Verde,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79999924,,,,,,,,,,,,,,,,,,,82.21237902,,,85.33000183,,,86.79000092,,,,,,,,,88.47000122
Costa Rica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,92.62999725,,,,,,,,,,,,,,,,94.87000275,,,,,,,,,,,97.41000366,,,,,,,,,,,,,
Caribbean small states,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80937195,86.86946869,87.17054749,87.46974182,87.7618866,88.04931641,88.33538818,88.62441254,88.88282013,89.15331268,89.41068268,89.65486145,89.95030212,90.15196228,90.74803925,91.01875305,,,,,,,,,,,,,,,,
Cuba,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,97.84999847,,,,,,,,,,,,,,,,,,,,,99.80000305,,,,,,,,,,99.66999817,,,,,,,97.65000153,,,,,
Curacao,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.87000275,,,,,,,,,,,,,,,,,
Cyprus,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.36000061,,,,,,,,,96.80000305,,,,,,,,,,98.68000031,,,,,,,,,,,,,
Czechia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
