Country Name,Year,Country Code,Life expectancy,Literacy rate,Obesity rate,Schooling years,contraceptive_percent_married,elec_access_percent,elec_kwh_per_capita,energy_oil_equiv_kg_per_capita,gross_cap_form_gdp,internet_access_percent,mil_expenditure_percent,mobile_sub_per100,pol_stability_estimate,pol_stability_std,poverty_ratio,revenue_of_GDP.,urban_growth,urban_percentage,Inflation_Rate,Population,Labour_Force_Female,Unemployment_Rate,Government_Spending,GDP_per_capita,gold,silver,bronze,total,edition,edition_id
Kazakhstan,2014,KAZ,70.29525,,48.9725,,50.9960363,99.95,4961.74554978576,4286.55251486186,24.6469147129967,60.4527,1.02579917322351,164.017,-0.278370330110192,0.220238082110882,,21.6284493145275,1.54132847514596,57.00925,6.6102192096591,17436223,,5.235,22971579948.8286,12303.0280576772,0,0,1,1,2014 Winter Olympics,58
Kazakhstan,2016,KAZ,71.67675,,49.875,,55.69399923,100,4916.43219436638,3696.0011848382,26.5238377728407,68.68045,1.04076251247907,154.49775,-0.100836460536812,0.204441029578447,,16.8502490618253,1.61014314398236,57.15475,8.45791714532373,17955139,,5.0375,21289583186.0088,10894.4646494496,2,5,10,17,2016 Summer Olympics,59
Kazakhstan,2018,KAZ,72.7345,,50.76,12.20963,54.336999615,100,4925.04976589322,3414.61174531004,26.836548431938,75.18705,0.927698509740675,141.33025,-0.0162356696673669,0.200963497161865,4.3,14.8963193591253,1.65479239559917,57.30475,8.66142644590568,18508106,,4.91,17478459657.7049,9021.81473842247,0,0,1,1,2018 Winter Olympics,60
Kazakhstan,2020,KAZ,72.8045,,51.62,12.20963,52.98,100,5112.23487828547,3589.98790813741,27.0112963874444,80.7877,0.898906442387363,134.8415,-0.113414189312607,0.205422695726156,4.63333333333333,14.7379143413442,1.65522087433828,57.49375,6.41451030665671,19069082,63.7,4.86,17721832872.1246,9163.55089141131,0,0,8,8,2020 Summer Olympics,61
Kazakhstan,2024,KAZ,72.6786666666667,,52.915,,,100,5246.20676772852,3565.83114726895,27.1146229754989,92.372775,0.605592190104011,125.567,-0.324643522500992,0.211515734593074,5.15,15.2541988294577,1.69430409313986,58.09425,11.6584411947322,20175221,63.3,5.00525,25025695825.226,12030.9292353973,1,3,3,7,Paris 2024,2024
Kenya,2012,KEN,61.0545,,24.9175,6.061835,45.5,29.125,147.516670021218,468.912304555451,21.090586606466,8.15,1.40109532758681,60.91015,-1.2898340523243,0.238066028803587,,,4.4911905588749,23.77475,11.7001306684732,42163555,71.54,2.75,6121811921.83737,1130.15923081308,2,4,7,13,2012 Summer Olympics,54
Kenya,2016,KEN,62.131,,27.8575,,61.0843520426433,42.7,167.645865622133,508.196954538212,22.2018802839305,15.671975,1.26132727092622,76.21495,-1.26124563813209,0.207909449934959,36.1,19.3264747841566,4.02467174950573,25.4445,6.36876309853272,46566611,71.46,2.76275,8419998879.77566,1474.23505389966,6,6,1,13,2016 Summer Olympics,59
Kenya,2020,KEN,62.52125,,30.905,,61.7015225924209,64.55,175.548484878196,540.934836312087,19.7582244357761,19.9986333333333,1.16649618596907,102.443,-1.10528865456581,0.222070436924696,42.9,19.1453561469704,3.78016702766096,27.2735,5.83506404546115,50706258,62.903,4.6145,11570421335.8207,1848.00247660643,4,4,2,10,2020 Summer Olympics,61
Kenya,2024,KEN,62.8066666666667,,33.3,,63.6,76.2333333333333,187.954812557273,541.949088363627,18.1468175880425,34.9881,0.997740762514676,121.359666666667,-0.972496747970582,0.231668218970299,39.2,17.9246374864264,3.71105021395839,29.266,6.48224590051062,54810893,59.1805,5.60025,13622109275.9178,2082.33966596032,4,2,5,11,Paris 2024,2024
Kosovo,2016,XKX,76.32175,,,,65.8,,2867.80579678205,1258.00488566498,30.4495820788535,,0.763054606150043,,-0.448315244168043,0.250389013439417,18.7666666666667,,,,0.48313053254445,1799187,17.548,,874391819.077743,3721.78276727274,1,0,0,1,2016 Summer Olympics,59
Kosovo,2020,XKX,76.42075,,,,66.7,,,,34.7378796734895,86.6683,0.865521219706763,,-0.386925224214792,0.242349687963724,,,,,1.35406299796672,1791786,17.6105,,965632450.721002,4280.09801272212,2,0,0,2,2020 Summer Olympics,61
Kosovo,2024,XKX,76.879,,,,,,,,34.7315995219069,,1.08165028880316,34.5402,-0.211643238862356,0.23943267762661,,,,,5.37449404494721,1691041,19.939,,1252624930.17413,6020.50393952433,0,1,1,2,Paris 2024,2024
Kuwait,2012,KWT,77.9017134125,94.99000168,76.61,7.33498,,100,16585.3473227564,10692.6632792749,15.501849508611,62.104775,3.66077332769752,134.79645,0.330026298761368,0.240164790302515,,,5.75022851525214,100,4.04727475079083,3052194,57.71,1.936,22122091513.7283,44611.045323853,0,0,1,1,2012 Summer Olympics,54
Kuwait,2020,KWT,80.1882926825,96.1866658533333,77.61,7.20224,,100,15611.9219904283,9130.8611622955,23.7326102027672,99.06185,5.69675902250222,163.7135,0.109954662621021,0.227257117629051,,,2.35868459279501,100,1.47713592703304,4330227,,2.55975,32304762933.9454,29514.8913124451,0,0,1,1,2020 Summer Olympics,61
Latvia,2012,LVA,73.4792682925,99.90000153,53.7575,12.6091975,,99.9,3277.25637056759,2110.82770926714,24.88920364691,69.532475,1.1099426825981,114.7165,0.412440672516823,0.240164790302515,19.625,28.0407440841197,-1.67515530435145,67.85525,2.26949890539399,2083313,53.964,17.0625,4858375487.62682,12354.0938723848,1,0,1,2,2012 Summer Olympics,54
Latvia,2014,LVA,73.8652439025,99.90000153,54.7525,12.8259,,99.95,3457.85645769268,2142.85285898687,26.3446057064547,73.4826,0.965303088500836,122.00475,0.463633120059967,0.223992299288511,20.575,28.772723132953,-1.22759527357524,67.91075,1.80489017540316,2025114,53.719,13.4915,5230515243.73456,13975.5525389783,1,1,3,5,2014 Winter Olympics,58
Latvia,2018,LVA,74.61829268,,56.7025,13.0269866666667,,100,3595.75997343516,2249.2519526348,23.1230026284993,80.6835,1.53560650332032,125.105,0.43798216432333,0.208900902420282,22.525,29.4388488898056,-0.779664614639779,68.0545,1.44492323593579,1951621,55.02525,8.91075,5397300144.73849,14886.2922181624,0,0,1,1,2018 Winter Olympics,60
Latvia,2020,LVA,74.9963414625,,57.67,13.07661,,100,3680.71596384294,2315.90376925197,23.0200565605126,84.6812,1.95963013676048,112.592,0.434362716972828,0.222001612186432,22.8,30.0201221202001,-0.657630360818927,68.1885,2.12382286780274,1920923,55.676,7.63425,6294902505.75212,16810.9685478233,1,0,1,2,2020 Summer Olympics,61
Latvia,2022,LVA,74.4579268275,,58.62,,,100,3736.70760333887,2306.63396811418,23.8572601985488,89.3108,2.09117325178515,111.493,0.51222538203001,0.22914931550622,22.5,30.682698463415,-0.482188777826108,68.3745,5.90414662494784,1894536,55.41175,7.1845,7403816283.44312,18837.0817092705,0,0,1,1,2022 Winter Olympics,62
Liechtenstein,2018,LIE,82.925609755,,,,,100,,,,98.0939,,118.458,1.45099040865898,0.255199652165175,,,0.707398096486098,14.31475,,37854,53.3533333333333,,,169524.62902212,0,0,1,1,2018 Winter Olympics,60
